Country,p1,p2,p3,mu1,mu2,mu3,sig1,sig2,sig3
SWE,0.2503887565983084,0.3041546730522928,0.4454565703493988,-0.0073965262427976375,-0.010267647588566995,0.011163628363858848,0.001245319472733238,0.021491564848587264,0.021491564848587264
ZAF,0.24100621148519918,0.3060720934697805,0.45292169504502033,0.005738817094801632,0.01281664401018489,-0.011635139904855379,0.01929938551670255,1.0574008690932633e-08,1.0574008690932633e-08
BOL,0.3244940186535423,0.3710312835207211,0.30447469782573655,0.021744992737393144,-0.007613561664732791,-0.013899070750561668,0.0007705457887260838,0.0019102593549370202,0.0019102593549370202
CYP,0.34265626596108245,0.36891391939908297,0.2884298146398345,0.015878398834259372,0.012826853915519966,-0.03526949323607179,0.0028627791711347875,0.002522222470345461,0.002522222470345461
FIN,0.24793906766470006,0.2955977619497699,0.4564631703855301,0.017885829121305506,0.00785668023705769,-0.014803246520278637,7.901057285592234e-06,0.023326680766303617,0.023326680766303617
IND,0.25059197169561764,0.3032005789404573,0.446207449363925,0.01654274314195921,-0.010253362020660125,-0.002356578083425191,0.002728490032008506,0.0015492125913198315,0.0015492125913198315
KOR,0.2564476830238779,0.30729975675742777,0.4362525602186944,0.024473702331121387,-0.02120485587086617,0.0005509498133353272,0.002218825748689337,0.03787969877243077,0.03787969877243077
NOR,0.24843266359150465,0.30192886887862685,0.44963846752986847,0.013117836898121609,-0.00034075489305248447,-0.00705327992957653,0.006325389328523168,0.013480001755667421,0.013480001755667421
QAT,0.17324570098383776,0.3090679428608492,0.517686356155313,0.04740351804877173,0.006033387791190671,-0.01946555010786897,0.05399136801728834,0.0015173112726924443,0.0015173112726924443
THA,0.14070540422153258,0.30841633156014875,0.5508782642183186,0.014011395541413344,0.03214760173590898,-0.021577340409794178,0.08663309176321041,0.0036014103917450845,0.0036014103917450845
AGO_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
BRA_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
CZE_A,0.24876437639195176,0.30294746374205866,0.4482881598659896,0.000489864826832075,-0.009093994298693009,0.005876721761570502,0.0034152875527134977,0.01472318089521842,0.01472318089521842
FRA_A,0.25318304542444187,0.30548598841849506,0.441330966157063,0.0015821509357851124,-0.008512888655160943,0.004983009024047458,0.006456612337244914,0.015423492824415849,0.015423492824415849
IRL_A,0.25177024606072057,0.30656403375501456,0.44166572018426487,0.0021629424711572414,-0.009160504879993562,0.005125660552591023,1.0345913711101036e-08,0.014534746655281386,0.014534746655281386
LUX_A,0.2511112608363926,0.30147689284552,0.4474118463180874,0.006657005201474314,-0.006084876577337635,0.0003646589920345884,0.0006803669030113735,0.01624663265600552,0.01624663265600552
NZL_A,0.2527310525419822,0.30318265689602886,0.4440862905619889,0.007843045664875536,-0.00581889566461882,-0.0004900620187325583,0.0013319814883413009,0.016474871414691644,0.016474871414691644
ROU_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
TUN_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
ARG_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
CAN_A,0.24904528175528848,0.3025247977697511,0.44842992047496044,0.011175554414808504,-0.006421648345380941,-0.001875740689815089,0.00010395547885441775,0.0163884451231437,0.0163884451231437
DEU_A,0.257977229892103,0.3043874012891505,0.43763536881874654,0.0059864401531430095,-0.006746477698288488,0.0011631483723894753,1.18027535612643e-08,0.01535371469955244,0.01535371469955244
GBR_A,0.25551781007907803,0.3070726805290207,0.43740950939190126,0.005490496580358099,-0.008051618821536457,0.002444076306213879,1.1204253189812571e-08,0.015280019387408117,0.015280019387408117
IRN_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
MEX_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
PER_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
SAU_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
TUR_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
AUS_A,0.2534802753874013,0.30672770448404224,0.43979202012855645,0.005778918853968025,-0.006861784197373341,0.0014557711799818333,0.0028653585698817023,0.016142545488195943,0.016142545488195943
CHE_A,0.24901479293194614,0.3034260146698794,0.44755919239817443,0.007586845662418314,-0.0065329347321944325,0.00021146173069712962,0.004716714591491672,0.016093030236150076,0.016093030236150076
DNK_A,0.25069520604924816,0.3035373969338855,0.4457673970168663,0.008498852762214935,-0.00561250985411987,-0.0009605276055651642,1.011765210360345e-08,0.016563274824456863,0.016563274824456863
GRC_A,0.25312190005605384,0.3028464375967105,0.4440316623472357,0.003192556847751916,-0.008428945515741635,0.0039281493129689465,0.002171963678506032,0.015197419710066922,0.015197419710066922
ISL_A,0.25267772591405874,0.29968823696457203,0.4476340371213692,0.004112311712783291,-0.007858964514865452,0.0029396493899058324,0.002523114453723172,0.015377654899660368,0.015377654899660368
MLT_A,0.25561177410808245,0.3021350620519632,0.4422531638399543,0.003518454757109599,-0.008084226554380465,0.00348928864612013,0.0033862859241696594,0.015268829894154201,0.015268829894154201
PHL_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
SGP_A,0.25492616821480923,0.30319454623307623,0.44187928555211453,0.008187446985288376,-0.006161303009335169,-0.000498405331487352,0.0029844683281773955,0.016345322730042796,0.016345322730042796
TWN_A,0.25421409426919633,0.3046593403183791,0.44112656541242456,0.00393321138721393,-0.00794430427786481,0.0032195678025815377,1.1364864278189463e-08,0.0152626448202047,0.0152626448202047
AUT_A,0.24969516373981804,0.3019777221931784,0.44832711406700354,0.008887420946863178,-0.005815985918447181,-0.0010369389199081178,0.0002116333524803207,0.016576188936606312,0.016576188936606312
CHL_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
EGY_A,0.251513763225428,0.2965894879663858,0.4518967488081862,0.0029316991343373263,-0.007782081271832103,0.003473785094652348,0.007889171326206453,0.015676399981926555,0.015676399981926555
