Country,Residual
AGO_D,4.610303347716939e-06
BRA_D,5.114652166086013e-06
CZE_D,5.871167238656229e-06
FRA_D,6.284541758568656e-06
IRL_D,4.610303347716939e-06
LUX_D,3.620410534338007e-06
NZL_D,5.871167238656229e-06
ROU_D,4.610303347716939e-06
TUN_D,4.915927343432441e-06
ARG_D,2.4645853626192155e-06
CAN_D,7.31905816544527e-06
DEU_D,6.085477235833516e-06
GBR_D,4.610303347716939e-06
IRN_D,5.114652166086013e-06
MEX_D,5.871167238656229e-06
PER_D,6.284541758568656e-06
SAU_D,4.610303347716939e-06
TUR_D,3.620410534338007e-06
AUS_D,5.871167238656229e-06
CHE_D,4.610303347716939e-06
DNK_D,4.915927343432441e-06
GRC_D,2.4645853626192155e-06
ISL_D,7.31905816544527e-06
MLT_D,6.085477235833516e-06
PHL_D,4.610303347716939e-06
SGP_D,5.114652166086013e-06
TWN_D,5.871167238656229e-06
AUT_D,6.284541758568656e-06
CHL_D,4.610303347716939e-06
EGY_D,3.620410534338007e-06
HKG_D,5.871167238656229e-06
ISR_D,4.610303347716939e-06
MYS_D,4.915927343432441e-06
POL_D,2.4645853626192155e-06
SVK_D,7.31905816544527e-06
URY_D,6.085477235833516e-06
BEL_D,4.610303347716939e-06
CHN_D,5.114652166086013e-06
ESP_D,5.871167238656229e-06
HUN_D,6.284541758568656e-06
ITA_D,3.620410534338007e-06
NAM_D,2.4645853626192155e-06
PRT_D,1.6280765648498585e-06
SVN_D,6.845484831895217e-06
USA_D,8.256555095771044e-06
BGR_D,5.743076530072404e-06
COL_D,3.620410534338007e-06
EST_D,3.620410534338007e-06
IDN_D,5.871167238656229e-06
JPN_D,6.085477235833516e-06
NLD_D,1.6280765648498585e-06
PRY_D,6.845484831895217e-06
SWE_D,3.620410534338007e-06
ZAF_D,2.4645853626192155e-06
BOL_D,1.6280765648498585e-06
CYP_D,6.845484831895217e-06
FIN_D,8.256555095771044e-06
IND_D,5.743076530072404e-06
KOR_D,3.620410534338007e-06
NOR_D,3.620410534338007e-06
QAT_D,5.871167238656229e-06
THA_D,6.085477235833516e-06
AGO_U,6.091193327105984e-06
BRA_U,3.892547256122234e-06
CZE_U,7.162806130425064e-06
FRA_U,6.091193327105984e-06
IRL_U,6.091193327105984e-06
LUX_U,2.831746474265079e-06
NZL_U,3.881996389443741e-06
ROU_U,2.841814839825778e-06
TUN_U,2.795494376062355e-06
ARG_U,2.795494376062355e-06
CAN_U,5.608491727283013e-06
DEU_U,2.95839418485502e-06
GBR_U,6.091193327105984e-06
IRN_U,3.892547256122234e-06
MEX_U,7.162806130425064e-06
PER_U,6.091193327105984e-06
SAU_U,6.091193327105984e-06
TUR_U,2.831746474265079e-06
AUS_U,3.881996389443741e-06
CHE_U,2.841814839825778e-06
DNK_U,2.795494376062355e-06
GRC_U,2.795494376062355e-06
ISL_U,5.608491727283013e-06
MLT_U,2.95839418485502e-06
PHL_U,6.091193327105984e-06
SGP_U,3.892547256122234e-06
TWN_U,7.162806130425064e-06
AUT_U,6.091193327105984e-06
CHL_U,6.091193327105984e-06
EGY_U,2.831746474265079e-06
HKG_U,3.881996389443741e-06
ISR_U,2.841814839825778e-06
MYS_U,2.795494376062355e-06
POL_U,2.795494376062355e-06
SVK_U,5.608491727283013e-06
URY_U,2.95839418485502e-06
BEL_U,6.091193327105984e-06
CHN_U,3.892547256122234e-06
ESP_U,7.162806130425064e-06
HUN_U,6.091193327105984e-06
ITA_U,6.091193327105984e-06
NAM_U,2.831746474265079e-06
PRT_U,3.881996389443741e-06
SVN_U,2.841814839825778e-06
USA_U,2.795494376062355e-06
BGR_U,2.795494376062355e-06
COL_U,5.608491727283013e-06
EST_U,2.95839418485502e-06
IDN_U,6.091193327105984e-06
JPN_U,3.892547256122234e-06
NLD_U,7.162806130425064e-06
PRY_U,6.091193327105984e-06
SWE_U,6.091193327105984e-06
ZAF_U,2.831746474265079e-06
BOL_U,3.881996389443741e-06
CYP_U,2.841814839825778e-06
FIN_U,2.795494376062355e-06
IND_U,2.795494376062355e-06
KOR_U,5.608491727283013e-06
NOR_U,2.95839418485502e-06
QAT_U,6.091193327105984e-06
THA_U,3.892547256122234e-06
