cc,Residual,AverageMatch,Mean,Variance,Skewness,Kurtosis
CAN_A,6.758442554645387e-07,2.0,0.025867649673868717,0.0018445295503500007,0.11106335996961576,2.703985840226044
DEU_A,7.18194377557035e-07,2.0,0.02578040633601418,0.0020659603991500016,0.043839236412347465,3.2028182726956693
GBR_A,5.120006740192023e-07,2.0,0.025998514680650512,0.001946204534400001,0.04210628189034919,3.0133539462165246
IRN_A,1.0135357049889214e-06,2.0,0.025998514680650515,0.001965233034400001,0.18452528573346103,2.6687812367120562
MEX_A,1.0135357049889214e-06,2.0,0.02298861952466916,0.0019775768223500006,-0.036291948999446315,3.234509891684166
PER_A,1.0135357049889214e-06,2.0,0.02591127134279598,0.0018099224174000007,0.1460049511924656,3.0104748441403255
SAU_A,1.0135357049889214e-06,2.0,0.025649541329232386,0.001884308629600001,0.08513220020168086,2.6415422059664584
TUR_A,1.0135357049889214e-06,2.0,0.025911271342795982,0.0018403680174000007,-0.03897464329536482,3.176506456823913
AUS_A,5.948414142164652e-07,2.0,0.024558999606050732,0.0020779711883500006,0.11926832500383157,2.9402769593126266
CHE_A,1.674354068798105e-06,2.0,0.025082459633177925,0.0017817811687500006,-0.0003931698057115958,2.672755867130613
DNK_A,1.30353723920511e-06,2.0,0.025998514680650512,0.002007095734400001,0.16462557543574724,3.231386116587073
GRC_A,7.254265935479995e-07,2.0,0.024166404585705344,0.001935358289400001,0.03663219341109924,2.9489900815231156
ISL_A,4.434832697250615e-07,2.0,0.025213324639959726,0.001769490660600001,0.06961353601504959,2.6905248737790752
MLT_A,4.770609338474693e-07,2.0,0.024340891261414407,0.002022036912600001,0.1455219437775149,3.211027062149256
PHL_A,1.0135357049889214e-06,2.0,0.025082459633177925,0.0018693122687500007,0.022896398439766076,2.949547834583553
SGP_A,1.2019386551137682e-06,2.0,0.025736784667086916,0.001921688215000001,0.12523368454357126,2.6656791456642317
TWN_A,3.0934452981617724e-07,2.0,0.024253647923559874,0.001702791962400001,-0.0974732845988758,3.203232459583649
AUT_A,2.091411880495403e-06,2.0,0.024166404585705344,0.0017260447894000008,0.032867714963946255,2.9464024576279315
CHL_A,1.0135357049889214e-06,2.0,0.02534418964674152,0.0018370856011500005,0.1940914272264282,2.7084336571109167
EGY_A,1.0135357049889214e-06,2.0,0.02364294455857815,0.0020897783726000004,0.14688145825493246,3.1964042982999783
HKG_A,9.75667031427716e-07,2.0,0.02634748803206864,0.0017528749744000008,0.10005884295970774,3.072396824862033
ISR_A,6.397170784635662e-07,2.0,0.027219921410613957,0.001835534778400001,0.07309758891336196,2.7033113344912034
MYS_A,1.0135357049889214e-06,2.0,0.025387811315668793,0.0018596096366000007,-0.007723009278129584,3.18269615436585
POL_A,1.0135357049889214e-06,2.0,0.024384512930341672,0.002029425679150001,-0.08192084319419946,3.0292722561888876
SVK_A,6.310549840842841e-07,2.0,0.024166404585705344,0.0018630499894000008,0.06681622006218542,3.0538001707591835
URY_A,1.0135357049889214e-06,2.0,0.02421002625463261,0.0020455161787500007,0.04146333844340734,3.070796295907366
BEL_A,4.286019325014995e-07,2.0,0.023686566227505416,0.0018194119303500003,-0.03066784059963621,2.93418306438223
CHN_A,1.0135357049889214e-06,2.0,0.02495159462639613,0.0018625400256000006,0.03841673827902734,3.001501108846958
ESP_A,2.848716038500148e-07,2.0,0.023075862862523697,0.0018365528031500005,0.09624248630148781,3.117319931844472
HUN_A,1.0135357049889214e-06,2.0,0.023250349538232757,0.001938834796350001,0.11700714804941846,2.902592917868381
ITA_A,1.918693270780007e-06,2.0,0.02373018789643268,0.001872526182400001,0.044067550812326356,2.9668808148256582
NAM_A,1.0135357049889214e-06,2.0,0.02656559637670497,0.002089555739150001,0.018136335752348336,3.050780315344188
PRT_A,1.5883169276248458e-06,2.0,0.025954893011723247,0.0017829228787500004,0.07481492582534095,2.9547197960674274
SVN_A,1.0094179377557645e-06,2.0,0.02538781131566879,0.0018558039366000007,0.07063401022489506,2.9853452748464675
USA_A,7.809507788644277e-07,2.0,0.023599322889650887,0.0018806228091500007,0.08205129726365344,3.0362742418760176
BGR_A,1.0135357049889214e-06,2.0,0.024995216295323395,0.0018089843123500005,0.030923734876792626,2.972472036127299
COL_A,1.0135357049889214e-06,2.0,0.02525694630888699,0.0018491116131500007,-0.08878427697342235,2.9782460098605856
EST_A,6.220791470814354e-07,2.0,0.022770511180032833,0.0016317243206000005,0.18498590028294137,3.0817378850882955
IDN_A,1.0135357049889214e-06,2.0,0.023032241193596426,0.0018556897656000007,0.1122052946207369,2.887903923388748
JPN_A,8.149272040547216e-07,2.0,0.024166404585705344,0.001969609589400001,-0.07819034396190966,2.9811431904795
NLD_A,4.1964043547362324e-07,2.0,0.023032241193596426,0.0017909928656000007,-0.006662881758334689,3.0646644640730165
PRY_A,1.0135357049889214e-06,2.0,0.025954893011723247,0.0019008995787500006,0.16143288945463155,2.857904547722317
SWE_A,8.686284681113168e-07,2.0,0.024515377937123467,0.0017851701446000006,0.04926320474035919,3.0409817706783664
ZAF_A,1.0135357049889214e-06,2.0,0.025605919660305117,0.0017971105283500009,0.051856838374179794,2.952574883522877
