"cc","autocorr_coef","mean","stdev","skewness","kurtosis","mean_ar","var_ar","skewness_ar","kurtosis_ar","pop"
"URY_E",0.712666246847553,-2.21089955724004e-20,0.0147545607173608,0.543937327172209,4.36714301875447,-0.000105976584798242,0.000409411551752645,0.212569044591927,3.45947421643326,4266.626511
"BEL_E",0.713350644746878,-1.65406871160944e-18,0.0147275022860916,0.541314591847924,4.34428766680358,0.000271557004991211,0.000433001667513232,0.299667797408686,3.59252051292713,4270.088245
"CHN_E",0.721686289029152,2.90754826513012e-19,0.0131341844792037,0.00199286772643855,3.28610932799036,0.000219015197343068,0.000333262641777479,0.0042941405361426,3.13951014107966,2836.304559
"ESP_E",0.713350644746878,-1.65406871160944e-18,0.0147275022860916,0.541314591847924,4.34428766680358,-0.000601817187304511,0.00039421484382318,0.254994724939015,3.54281101434515,4270.088245
"HUN_E",0.722777796718224,1.12228276388537e-19,0.0124667000291745,-0.616812326414805,3.83765085524388,9.74971169860951e-05,0.000330631463109392,-0.422364986937265,3.39860797568098,4260.403566
"ITA_E",0.713350644746878,-1.65406871160944e-18,0.0147275022860916,0.541314591847924,4.34428766680358,0.000129988784380654,0.000427744777340388,0.379331488369453,3.53332166274454,4270.088245
"NAM_E",0.713425278863779,-1.36139729359713e-18,0.0147317094449463,0.542778627839267,4.34762992451813,0.000528588293283114,0.000438104751505574,0.304637445974209,3.65200539781642,4267.593715
"PRT_E",0.713350644746878,-1.65406871160944e-18,0.0147275022860916,0.541314591847924,4.34428766680358,0.000637029636624444,0.000456345863086238,0.317415342633923,3.39477183792428,4270.088245
"SVN_E",0.713350644746878,-1.65406871160944e-18,0.0147275022860916,0.541314591847924,4.34428766680358,5.37896612536635e-05,0.000423276011402954,0.271326948258024,3.4110503543659,4270.088245
"USA_E",0.713350644746878,-1.65406871160944e-18,0.0147275022860916,0.541314591847924,4.34428766680358,-0.000380017419610447,0.000426975626389972,0.277315768317577,3.40239831101156,4270.088245
"BGR_E",0.728910241369604,5.27439520185406e-19,0.0124860386529236,-0.619599519999726,3.82927311422007,0.000534688023021032,0.000308984286191742,-0.348311825650508,3.30501307916047,4263.088126
"COL_E",0.708974692498717,-8.048248647979e-19,0.0148715584770516,0.552962661781794,4.46494732635219,-0.000484745593240626,0.000410340460923472,0.352380330687801,3.81864231502621,4219.748802
"EST_E",0.713350644746878,-1.65406871160944e-18,0.0147275022860916,0.541314591847924,4.34428766680358,0.000546916387985131,0.000423490349227508,0.259194386896889,3.34388632139474,4270.088245
"IDN_E",0.722133533673432,-1.58610508496026e-18,0.0150189376031756,0.501443242779355,4.59736778017067,-0.000174962927938398,0.000459607871304937,0.278659665568639,3.40656682678912,3999.462677
"JPN_E",0.713350644746878,-1.65406871160944e-18,0.0147275022860916,0.541314591847924,4.34428766680358,-7.40403867338447e-05,0.000422941169985669,0.27257569373286,3.42442778099763,4270.088245
"NLD_E",0.713350644746878,-1.65406871160944e-18,0.0147275022860916,0.541314591847924,4.34428766680358,0.000640032784231234,0.000460317051278677,0.393319408114368,3.62485396467651,4270.088245
"PRY_E",0.713483760367131,-5.80404203247404e-19,0.0147484518425167,0.542770123318606,4.35693984328069,0.000260433652186472,0.000415761507097015,0.289171954999534,3.47719574648738,4263.043609
"SWE_E",0.713350644746878,-1.65406871160944e-18,0.0147275022860916,0.541314591847924,4.34428766680358,-0.000150114731117334,0.00043768784696982,0.291958937651451,3.38392968358869,4270.088245
"ZAF_E",0.718132365177613,-7.91932736210877e-19,0.0151604177578532,0.60347387859995,4.67670248823003,-0.000894407179960831,0.000459417234387067,0.345174936518922,3.59535639690253,4211.529975
"BOL_E",0.712936754215166,-1.89833004321257e-18,0.0147748306859906,0.558551304260856,4.3978456870574,0.000118222237073348,0.00044089932822531,0.322776417852142,3.46169218734958,4258.575145
"CYP_E",0.713350644746878,-1.65406871160944e-18,0.0147275022860916,0.541314591847924,4.34428766680358,0.000342331433161791,0.000422642716704638,0.368233992565642,3.61487184717749,4270.088245
"FIN_E",0.713350644746878,-1.65406871160944e-18,0.0147275022860916,0.541314591847924,4.34428766680358,-0.000107438635554001,0.000438419337196197,0.349198500979856,3.65178974460256,4270.088245
"IND_E",0.706527809963109,2.39667254601073e-19,0.0164333418223006,0.365683894146542,3.57580137804639,-0.000654674606534668,0.000519301446812642,0.219290630292248,3.17768131312372,2903.670491
"KOR_E",0.713350644746878,-1.65406871160944e-18,0.0147275022860916,0.541314591847924,4.34428766680358,0.00050424490192406,0.000438369973792803,0.370006354593718,3.6506524873035,4270.088245
"NOR_E",0.713350644746878,-1.65406871160944e-18,0.0147275022860916,0.541314591847924,4.34428766680358,-0.000174032860928322,0.000424805988160804,0.330256862252862,3.46101001379266,4270.088245
"QAT_E",0.728416461089592,-3.79154917576035e-20,0.012482826549728,-0.623097855828057,3.83133093017486,-0.000631411915130156,0.00032080749150229,-0.271108713426263,3.10627280483463,4267.256178
"THA_E",0.729135795363128,-6.73032280801383e-19,0.0147345892111809,0.474035737160954,4.07883154416311,-8.77979126111525e-05,0.000464895365950844,0.306441447506197,3.40339579487357,4200.462663
"AGO_R",0.531643393687782,-9.94348486746049e-20,0.00999055435387393,-0.586753571391371,4.72879423132918,-0.000232398759524832,0.000134986387226231,-0.448702160345492,4.06840059801898,5304.150475
"BRA_R",0.532673426174203,-2.2607165797311e-19,0.009625810483658,-0.571025585920652,4.4204406351647,0.000235685258796221,0.000121066521714982,-0.472414778056691,3.99139907417059,5124.926243
"CZE_R",0.651601851837262,-1.01137887375758e-19,0.00715588368857953,-1.38221504979382,8.73217278794137,-0.00012520284405865,8.42606576270432e-05,-0.819980647897049,5.26205466673198,5325.286561
"FRA_R",0.53384069396859,-5.42503067980432e-19,0.00963297131014511,-0.572454171561018,4.42674530288849,-0.000102175745626132,0.000125577510609691,-0.348998840380396,3.86066551268086,5268.624523
"IRL_R",0.535319224487157,-7.38828077365221e-19,0.00963868341607296,-0.571357441399383,4.41945087332279,-8.38197188733227e-05,0.000125898819396418,-0.41811348717,3.80194580762127,5331.093275
"LUX_R",0.53548347858781,-3.56234780282959e-19,0.00963947642926465,-0.572229813629893,4.42065272964533,-0.000126092114655221,0.000125086052328135,-0.372587264517645,3.8203455221732,5335.360041
"NZL_R",0.535432463911786,-7.51949909802347e-19,0.00963896362443365,-0.572024061539679,4.42160655341791,6.83175985409356e-06,0.000128314767519188,-0.508951585052301,4.05726187238923,5331.192707
"ROU_R",0.535079576270927,-2.3843259640677e-19,0.00963895430101597,-0.572595058850104,4.42300893215095,0.000309309289830567,0.000122901153835595,-0.403277915894194,3.93055971922643,5316.611213
"TUN_R",0.535321903807941,-5.7925568399689e-19,0.00963838065480181,-0.572055613422606,4.42086378369783,0.000273219705050689,0.000127112199675981,-0.46659798869921,3.92273168195958,5324.281051
"ARG_R",0.534660178050024,-1.61740223453677e-19,0.00963570776530866,-0.571852325334521,4.42372726524352,7.2404663729944e-05,0.000129496868527408,-0.441006611404623,3.95254336369669,5291.195093
"CAN_R",0.535048854398278,-1.81911092790835e-19,0.00963691965774763,-0.572198528720134,4.42275330636934,0.000277515466751037,0.000121595488669483,-0.397859977470385,4.07052020000468,5298.564723
"DEU_R",0.533515148052615,9.02377218638458e-20,0.00962986051417896,-0.577610708100763,4.44007931287949,-0.000117849661377951,0.000123805161959475,-0.468917374818902,3.93847795491831,5252.458725
"GBR_R",0.53344308692147,-4.94092981571254e-19,0.00962904436390235,-0.572156838894671,4.42594773926844,0.00030843108615409,0.000120355340473261,-0.401929489566969,3.91144559426339,5268.445598
"IRN_R",0.535518345082456,-8.76592961464412e-19,0.00964022520725087,-0.573604609042894,4.42044052462216,2.78778393926465e-05,0.000129883020479518,-0.385580007918341,3.71349803152829,5253.061864
"MEX_R",0.534072498761399,4.61274043987808e-20,0.00963238532508329,-0.570456583617899,4.42056795715396,9.22074492225487e-05,0.000121951384411192,-0.323542188134946,3.8924432180734,5208.400241
"PER_R",0.535057320074412,-1.17651440724559e-19,0.00963718065394109,-0.571924765887977,4.42251720965306,-0.000194648512259712,0.000123060457174965,-0.414141118403292,3.86283738767055,5303.465317
"SAU_R",0.531544197464257,3.87194552329635e-19,0.00999198804247176,-0.587536422719575,4.73210974085877,0.000157137844022446,0.000133657662841666,-0.4427969366934,4.11238883072265,5301.707242
"TUR_R",0.533934968451585,-7.18958694331324e-19,0.00963263213344548,-0.573911036303255,4.43161324422861,-3.78306656987894e-05,0.000123789834973047,-0.418053319780224,4.04066136952805,5252.546155
"AUS_R",0.5353597011321,-1.40119348562745e-19,0.00963856932462485,-0.572379731743586,4.42089329315651,0.000318166156098045,0.000122740546402474,-0.359177187954374,3.92778246357048,5310.772572
"CHE_R",0.535329237332552,1.83533376232186e-19,0.00963842819283098,-0.572563461818661,4.42250230933853,0.000308529187624995,0.000127280030872644,-0.400207595554886,3.93671726572082,5327.384405
"DNK_R",0.535329902728131,-2.55258403426804e-19,0.00963862539360877,-0.572232883521287,4.42141419237374,-0.00011271355942585,0.0001268582756606,-0.435812057289279,3.92710869379151,5330.203894
"GRC_R",0.534918727496954,-1.96726991122469e-19,0.00963657628115887,-0.572063605938703,4.4226587765439,-0.000177360205444918,0.000126557146691109,-0.431339805683019,3.79596066302645,5325.502315
"ISL_R",0.535495640943367,1.10810572938683e-19,0.00963950650299972,-0.572193293140581,4.42055726478116,-4.58782407246257e-05,0.00012904969726453,-0.381441621713477,3.79224073246753,5335.636739
"MLT_R",0.53548393774625,-6.98529408162801e-19,0.0096394691457619,-0.572220539198994,4.42068897411714,4.94163730638411e-05,0.000128828778241224,-0.454944865418439,3.84824323537652,5335.535398
"PHL_R",0.53440567781178,-1.08879624948756e-19,0.00963519685515892,-0.572229213060786,4.42451065703743,0.000447894678499174,0.000123268901806711,-0.364812625955521,3.90443119525396,5227.859155
"SGP_R",0.53533699589692,-9.25735228895793e-19,0.00963828427061792,-0.571665598011114,4.41933378660124,-0.000297323080259371,0.000126392388341152,-0.383551301395254,3.86702446480837,5330.171433
"TWN_R",0.535110332381379,-7.09756183836578e-19,0.00963753002699846,-0.572608615534312,4.42050761370658,0.000121577973164246,0.000127403969126942,-0.427533403669308,3.89123725767755,5312.379743
"AUT_R",0.535290208477395,-1.00595929854422e-19,0.00963825172029721,-0.57236106650184,4.42257824918838,0.000113004641763255,0.000126528718257261,-0.374651944069862,3.7260149205232,5327.020668
"CHL_R",0.535206724223587,1.73943240490392e-19,0.00963797290949861,-0.572401888478585,4.42161029953165,-0.000363051965198873,0.000128890403071513,-0.499130401776812,3.81705364887608,5317.023732
"EGY_R",0.534280970190503,-4.98744484535837e-19,0.00963457542818385,-0.575926216528194,4.43304377422099,9.21368082328571e-05,0.00012767214701175,-0.471136953122868,3.84375331508445,5235.587697
