"year","cc","dlgdp_pc","disaster","recession","normal","expansion","boom"
1965,"AUS",0.00254754494910014,NA,NA,0.00254754494910014,NA,NA
1966,"AUS",0.0421673828875855,NA,NA,NA,0.0421673828875855,NA
1967,"AUS",0.0321369746223985,NA,NA,NA,0.0321369746223985,NA
1968,"AUS",0.0513470934148959,NA,NA,NA,NA,0.0513470934148959
1969,"AUS",0.0488774520219262,NA,NA,NA,NA,0.0488774520219262
1970,"AUS",0.0166024435246812,NA,NA,0.0166024435246812,NA,NA
1971,"AUS",0.0199822524037749,NA,NA,NA,0.0199822524037749,NA
1972,"AUS",0.0097863737536652,NA,NA,0.0097863737536652,NA,NA
1973,"AUS",0.0264919571140831,NA,NA,NA,0.0264919571140831,NA
1974,"AUS",0.000554203727925584,NA,NA,0.000554203727925584,NA,NA
1975,"AUS",0.013384855410765,NA,NA,0.013384855410765,NA,NA
1976,"AUS",0.0238983710801441,NA,NA,NA,0.0238983710801441,NA
1977,"AUS",-0.00225867849152162,NA,NA,-0.00225867849152162,NA,NA
1978,"AUS",0.0289821268640185,NA,NA,NA,0.0289821268640185,NA
1979,"AUS",0.0186472273328679,NA,NA,NA,0.0186472273328679,NA
1980,"AUS",0.0209527469040984,NA,NA,NA,0.0209527469040984,NA
1981,"AUS",0.0200800557909147,NA,NA,NA,0.0200800557909147,NA
1982,"AUS",-0.0353881064246174,NA,-0.0353881064246174,NA,NA,NA
1983,"AUS",0.0309849819057368,NA,NA,NA,0.0309849819057368,NA
1984,"AUS",0.0368985326364821,NA,NA,NA,0.0368985326364821,NA
1985,"AUS",0.0244015505995097,NA,NA,NA,0.0244015505995097,NA
1986,"AUS",0.00915328079860878,NA,NA,0.00915328079860878,NA,NA
1987,"AUS",0.0400793292074235,NA,NA,NA,0.0400793292074235,NA
1988,"AUS",0.0216246098677793,NA,NA,NA,0.0216246098677793,NA
1989,"AUS",0.0194912947164896,NA,NA,NA,0.0194912947164896,NA
1990,"AUS",-0.0184604809723463,NA,-0.0184604809723463,NA,NA,NA
1991,"AUS",-0.00923454215598918,NA,NA,-0.00923454215598918,NA,NA
1992,"AUS",0.0275700280402051,NA,NA,NA,0.0275700280402051,NA
1993,"AUS",0.0279637882821633,NA,NA,NA,0.0279637882821633,NA
1994,"AUS",0.0269821593589474,NA,NA,NA,0.0269821593589474,NA
1995,"AUS",0.0275542843677568,NA,NA,NA,0.0275542843677568,NA
1996,"AUS",0.0284507721349863,NA,NA,NA,0.0284507721349863,NA
1997,"AUS",0.0345092668511982,NA,NA,NA,0.0345092668511982,NA
1998,"AUS",0.0394407474953709,NA,NA,NA,0.0394407474953709,NA
1999,"AUS",0.0282033042855749,NA,NA,NA,0.0282033042855749,NA
2000,"AUS",0.00840001220387809,NA,NA,0.00840001220387809,NA,NA
2001,"AUS",0.0290019517599487,NA,NA,NA,0.0290019517599487,NA
2002,"AUS",0.0188875263189603,NA,NA,NA,0.0188875263189603,NA
2003,"AUS",0.028740905847306,NA,NA,NA,0.028740905847306,NA
2004,"AUS",0.0187793693044875,NA,NA,NA,0.0187793693044875,NA
2005,"AUS",0.0127191540947906,NA,NA,0.0127191540947906,NA,NA
