"cc","cshare","has_share"
"MLT_U",NA,0
"PHL_U",NA,0
"SGP_U",NA,0
"TWN_U",NA,0
"AUT_U",NA,0
"CHL_U",NA,0
"EGY_U",NA,0
"HKG_U",NA,0
"ISR_U",NA,0
"MYS_U",NA,0
"POL_U",NA,0
"SVK_U",NA,0
"URY_U",NA,0
"BEL_U",NA,0
"CHN_U",NA,0
"ESP_U",NA,0
"HUN_U",NA,0
"ITA_U",NA,0
"NAM_U",NA,0
"PRT_U",NA,0
"SVN_U",NA,0
"USA_U",NA,0
"BGR_U",NA,0
"COL_U",NA,0
"EST_U",NA,0
"IDN_U",NA,0
"JPN_U",NA,0
"NLD_U",NA,0
"PRY_U",NA,0
"SWE_U",NA,0
"ZAF_U",NA,0
"BOL_U",NA,0
"CYP_U",NA,0
"FIN_U",NA,0
"IND_U",NA,0
"KOR_U",NA,0
"NOR_U",NA,0
"QAT_U",NA,0
"THA_U",NA,0
